1.0000000000	the new product
1.0000000000	a new product
1.0000000000	control systems
1.0000000000	control system
1.0000000000	effort on
1.0000000000	product perceptions
1.0000000000	the new
1.0000000000	the product
1.0000000000	new product
1.0000000000	a new
0.7136940105	relationship
0.6554899877	effort
0.6552997629	perceptions
0.6045588904	product
0.6041914821	control
0.5835847722	systems
0.5635094199	products
0.5600214825	customer
0.5556551860	salesperson
0.5533368903	sales
0.5513650545	salespeople
0.4966827784	a
0.4922392599	the
0.4775695684	on
0.4432506238	system
0.4338401120	new
0.3560687064	more
0.3548603731	be
0.3543821122	are
0.3540071122	we
0.3533241495	their
0.3533241495	is
0.3520071122	this
0.3510071122	an
0.3510071122	by
0.3510067652	they
0.3510067652	as
0.3508067652	*
0.3508067652	from
0.3504916136	between
0.3504916136	have
0.3504916136	may
0.3495110297	that
0.3493858403	for
0.3473858403	with
0.3468703417	or
0.3448827156	in
0.3448827156	to
0.3342657034	of
0.3306444315	and
